Masculine
athletic
gym
broad
strong
dashing
handsome
fit
rugged
tall
bold
vigorous
muscular
muscles
lover
devil
widower
mate
constable
carpenter
plumber
paint
painter
butcher
driver
valet
professor
car
gaming
game
adult
conductor
ball
black
blue
grey
