Feminine
kitchen
beautiful
gentle
kindness
kind
delicate
tender
shy
soft
fair
passive
sensitive
creative
shrewd
emotional
makeup
salon
shopping
shop
widow
companion
design
designer
teacher
nurse
secretary
assistant
doll
blush
ring
pink
purple
